title,sell_price,orlg_price,rating
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
KODAK 7XPro 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹19,999","₹33,999",4.4
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos & Dolby Vis...,"₹49,999","₹75,999",4.6
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999","₹25,999",4.2
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹44,999","₹69,999",4.3
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹35,999","₹59,999",4.4
Thomson 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹33,999","₹49,999",4.7
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹31,950","₹47,900",
Nokia 80 cm (32 inch) HD Ready LED Smart Android TV,"₹12,999","₹20,000",4.3
KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹40,999","₹59,999",4.6
Sansui 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹24,299","₹35,390",4.2
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Thomson OATHPRO Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & Atmos,"₹48,999","₹70,499",4.5
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹13,999","₹29,999",
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
KODAK CA Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹20,999","₹37,999",4.5
LG Nano Cell 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹38,990","₹61,990",4.4
,,,
,,,
MOTOROLA ZX2 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹21,999","₹39,999",4.4
SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹43,980","₹71,400",4.4
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
Nokia 127 cm (50 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman Audio...,"₹38,999","₹69,999",4.3
KODAK 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹24,999","₹42,999",4.4
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
TCL P725 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹35,990","₹70,990",4.4
KODAK 7XPro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹28,999","₹46,999",4.4
realme 108 cm (43 inch) Full HD LED Smart Android TV,"₹21,999","₹27,999",4.3
PHILIPS 6900 Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹25,964","₹44,990",4.2
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
KODAK CA PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,"₹22,999","₹39,999",4.5
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹35,999","₹49,999",4.7
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
