title,sell_price,orlg_price,rating
Haier 256 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹24,990","₹40,400",4.4
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,490","₹47,990",4.3
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹15,690","₹18,990",4.4
Midea 591 L Frost Free Side by Side Refrigerator,"₹54,990","₹87,990",4.1
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹37,990","₹65,100",4.5
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹23,990","₹29,990",4.4
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹18,790","₹25,250",4.4
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator  with Intellisense Inverter Compressor,"₹14,990","₹20,850",4.3
LG 215 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,"₹17,990","₹26,099",4.6
Haier 256 l Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹26,990","₹31,050",4.4
Whirlpool 570 L Frost Free Side by Side Inverter Technology Star Refrigerator,"₹62,990","₹88,200",4.3
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹49,990","₹67,999",4.3
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹23,400","₹30,550",4.3
Godrej 185 L Direct Cool Single Door 3 Star Refrigerator,"₹13,490","₹15,990",4.3
"LG 215 L Direct Cool Single Door 5 Star Refrigerator  with Smart Inverter With Smart Connect , Moist '...","₹19,790","₹27,999",4.5
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹14,990","₹24,390",4.4
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹22,788","₹28,999",4.2
LG 215 L Direct Cool Single Door 4 Star Refrigerator,"₹18,490","₹22,490",4.5
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,790","₹18,190",4.4
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹22,490","₹31,550",3.7
BOSCH 332 L Frost Free Triple Door Convertible Refrigerator,"₹41,400","₹58,190",
,,,
,,,
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹22,490","₹31,550",3.7
MarQ by Flipkart 170 L Direct Cool Single Door 2 Star Refrigerator,"₹9,490","₹12,999",4.1
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹16,590","₹21,100",4.3
SAMSUNG 192 L Direct Cool Single Door 1 Star Refrigerator,"₹12,490","₹14,990",4.3
SAMSUNG 580 L Frost Free French Door Bottom Mount Convertible Refrigerator,"₹71,790","₹91,990",
LG 688 L Frost Free Side by Side Refrigerator  with Smart Inverter Multi Digital Sensors and Express F...,"₹87,990","₹1,20,699",4.7
LG 360 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter Technology & Wi-F...,"₹39,990","₹57,599",4.5
LG 308 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter With Multi Air Fl...,"₹32,990","₹48,199",4.2
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,500","₹18,700",4.3
SAMSUNG 580 L Frost Free French Door Bottom Mount Convertible Refrigerator,"₹71,990","₹87,990",4.3
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹15,140","₹20,200",4.2
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹14,840","₹18,100",4.3
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,490","₹25,000",4.3
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator  with Digi Touch Cool,"₹16,290","₹17,990",4.4
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹11,490","₹15,990",4.2
Godrej 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,990","₹31,800",4.3
BOSCH 415 L Frost Free Double Door 3 Star Refrigerator,"₹52,000","₹70,490",3.9
LG 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹15,590","₹20,699",4.2
Haier 181 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","₹13,400",4.3
Haier 256 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹29,999","₹46,499",3.9
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹25,450","₹32,550",4.8
LG 408 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹46,999","₹63,330",4.1
SAMSUNG 394 L Frost Free Double Door 2 Star Refrigerator,"₹39,590","₹49,990",4.4
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹12,990","₹17,000",4.3
,,,
,,,
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹21,490","₹22,900",4.3
LG 408 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹46,999","₹63,330",4.1
SAMSUNG 394 L Frost Free Double Door 2 Star Refrigerator,"₹39,590","₹49,990",4.4
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹15,790","₹21,199",4.5
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹19,300","₹21,990",4.3
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹25,150",4.4
LG 408 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹45,990","₹64,999",4.7
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,990","₹35,650",4.3
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,690","₹23,990",4.5
Whirlpool 292 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,490","₹40,050",4.3
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹51,000","₹67,999",
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹14,990","₹19,650",4.3
